,term,frq_pre,frq_post,diff
235,grössere,0.0002352387673488591,5.884391325099544e-05,-0.00017639485409786366
183,öffentlichen,0.00028564707463790034,0.00011114961391854694,-0.0001744974607193534
127,grund,0.00033605538192694155,0.00016345531458609845,-0.0001726000673408431
326,staatswesen,0.00018483046005981786,1.3076425166887877e-05,-0.00017175403489292997
336,einigkeit,0.00018483046005981786,1.3076425166887877e-05,-0.00017175403489292997
239,einheit,0.0002352387673488591,6.538212583443938e-05,-0.00016985664151441973
227,jahres,0.0002352387673488591,6.538212583443938e-05,-0.00016985664151441973
225,bilden,0.0002352387673488591,6.538212583443938e-05,-0.00016985664151441973
80,sorgen,0.00043687199650502403,0.00026806671592120146,-0.00016880528058382257
48,frage,0.0005544913801794536,0.00038575454242319233,-0.00016873683775626129
207,freie,0.0002520415364452062,8.499676358477119e-05,-0.00016704477286043497
70,liegt,0.00048728030379406525,0.00032037241658875294,-0.0001669078872053123
75,bewusst,0.0004536747656013711,0.0002876813536715333,-0.0001659934119298378
300,stellung,0.00020163322915616494,3.922927550066363e-05,-0.0001624039536555013
153,verteidigen,0.0003192526128305945,0.00015691710200265452,-0.00016233551082793998
379,geistigen,0.00016802769096347078,6.538212583443938e-06,-0.00016148947838002685
68,all,0.00048728030379406525,0.0003269106291721969,-0.00016036967462186835
316,erneuern,0.00018483046005981786,2.6152850333775754e-05,-0.0001586776097260421
334,landesverteidigung,0.00018483046005981786,2.6152850333775754e-05,-0.0001586776097260421
72,zeiten,0.0004704775346977182,0.00031383420400530904,-0.00015664333069240915
285,wahrung,0.00020163322915616494,4.5767488084107565e-05,-0.00015586574107205738
298,freiheiten,0.00020163322915616494,4.5767488084107565e-05,-0.00015586574107205738
256,fühlen,0.00021843599825251202,6.538212583443938e-05,-0.00015305387241807263
307,bundespräsident,0.00018483046005981786,3.269106291721969e-05,-0.00015213939714259816
331,werk,0.00018483046005981786,3.269106291721969e-05,-0.00015213939714259816
33,bleiben,0.000655307994757536,0.0005034423689251833,-0.0001518656258323528
287,gegenseitige,0.00020163322915616494,5.230570066755151e-05,-0.00014932752848861343
290,krieges,0.00020163322915616494,5.230570066755151e-05,-0.00014932752848861343
148,feuer,0.0003192526128305945,0.00016999352716954238,-0.00014925908566105212
151,guten,0.0003192526128305945,0.00016999352716954238,-0.00014925908566105212
152,alten,0.0003192526128305945,0.00016999352716954238,-0.00014925908566105212
374,verteidigung,0.00016802769096347078,1.9614637750331815e-05,-0.00014841305321313896
410,indessen,0.0001512249218671237,6.538212583443938e-06,-0.00014468670928367977
399,notwendigkeit,0.0001512249218671237,6.538212583443938e-06,-0.00014468670928367977
279,täler,0.00020163322915616494,5.884391325099544e-05,-0.0001427893159051695
373,menschlichen,0.00016802769096347078,2.6152850333775754e-05,-0.00014187484062969504
335,kriege,0.00018483046005981786,4.5767488084107565e-05,-0.00013906297197571028
306,tatsache,0.00018483046005981786,4.5767488084107565e-05,-0.00013906297197571028
164,lage,0.0003024498437342474,0.00016345531458609845,-0.00013899452914814894
419,unrecht,0.0001512249218671237,1.3076425166887877e-05,-0.0001381484967002358
200,verbunden,0.00026884430554155323,0.00013076425166887875,-0.00013808005387267448
104,frei,0.0003864636892159828,0.00024845207817086965,-0.00013801161104511317
301,anderer,0.00020163322915616494,6.538212583443938e-05,-0.00013625110332172557
284,gott,0.00020163322915616494,6.538212583443938e-05,-0.00013625110332172557
375,bundesbriefes,0.00016802769096347078,3.269106291721969e-05,-0.00013533662804625108
363,güter,0.00016802769096347078,3.269106291721969e-05,-0.00013533662804625108
368,bedarf,0.00016802769096347078,3.269106291721969e-05,-0.00013533662804625108
346,einig,0.00016802769096347078,3.269106291721969e-05,-0.00013533662804625108
380,militärischen,0.00016802769096347078,3.269106291721969e-05,-0.00013533662804625108
372,wahren,0.00016802769096347078,3.269106291721969e-05,-0.00013533662804625108
245,worten,0.00021843599825251202,8.499676358477119e-05,-0.0001334392346677408
403,verständigung,0.0001512249218671237,1.9614637750331815e-05,-0.00013161028411679188
391,rat,0.0001512249218671237,1.9614637750331815e-05,-0.00013161028411679188
420,entschlossen,0.0001512249218671237,1.9614637750331815e-05,-0.00013161028411679188
434,schwur,0.0001512249218671237,1.9614637750331815e-05,-0.00013161028411679188
201,gefahren,0.00026884430554155323,0.0001373024642523227,-0.00013154184128923052
229,behaupten,0.0002352387673488591,0.00010461140133510301,-0.00013062736601375608
296,verpflichtet,0.00020163322915616494,7.192033841788332e-05,-0.00012971289073828162
343,lieben,0.00016802769096347078,3.922927550066363e-05,-0.00012879841546280715
173,zusammenarbeit,0.00028564707463790034,0.00015691710200265452,-0.00012872997263524582
179,schutz,0.00028564707463790034,0.00015691710200265452,-0.00012872997263524582
7,leben,0.0015794602950566254,0.0014514831935245542,-0.0001279771015320712
510,geistige,0.00013442215277077661,6.538212583443938e-06,-0.0001278839401873327
488,hindurch,0.00013442215277077661,6.538212583443938e-06,-0.0001278839401873327
457,zusammengehörigkeit,0.00013442215277077661,6.538212583443938e-06,-0.0001278839401873327
131,erinnern,0.00033605538192694155,0.00020922280267020603,-0.00012683257925673552
312,willens,0.00018483046005981786,5.884391325099544e-05,-0.00012598654680882242
332,ausserhalb,0.00018483046005981786,5.884391325099544e-05,-0.00012598654680882242
442,schweren,0.0001512249218671237,2.6152850333775754e-05,-0.00012507207153334793
416,hoffen,0.0001512249218671237,2.6152850333775754e-05,-0.00012507207153334793
116,gemeinsamen,0.00035285815102328866,0.00022883744042053784,-0.00012402071060275082
269,grundlagen,0.00020163322915616494,7.845855100132726e-05,-0.00012317467815483766
297,nation,0.00020163322915616494,7.845855100132726e-05,-0.00012317467815483766
341,äussern,0.00016802769096347078,4.5767488084107565e-05,-0.00012226020287936322
471,einstellung,0.00013442215277077661,1.3076425166887877e-05,-0.00012134572760388873
497,einsicht,0.00013442215277077661,1.3076425166887877e-05,-0.00012134572760388873
504,beistand,0.00013442215277077661,1.3076425166887877e-05,-0.00012134572760388873
501,feiertag,0.00013442215277077661,1.3076425166887877e-05,-0.00012134572760388873
